City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,87.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
6,Miram Shah,PK,82.11,scattered clouds,33.0086,70.0697,Bachelor Hostel
7,Rikitea,PF,77.67,broken clouds,-23.1203,-134.9692,People ThankYou
20,Bonthe,SL,84.29,broken clouds,7.5264,-12.505,Bonthe Holiday Village
23,Teknaf,BD,78.28,few clouds,20.8624,92.3058,Forestry Guesthouse
26,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Hargeysa,SO,77.49,broken clouds,9.56,44.065,City Center Hotel
34,Castro,BR,78.71,clear sky,-24.7911,-50.0119,CHACARA BAILLY
37,Kavieng,PG,82.96,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
40,Sai Buri,TH,79.84,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
48,Rio Muerto,MX,86.77,clear sky,27.4167,-110.2333,
55,Amargosa,BR,76.15,broken clouds,-13.0303,-39.6047,Hotel Amargosa
57,Lakatoro,VU,78.12,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
66,Phuket,TH,90.09,few clouds,8.0,98.25,The Surin
70,Raga,SS,91.51,overcast clouds,8.4596,25.678,
72,Gizo,SB,82.44,overcast clouds,-8.103,156.8419,Imagination Island
77,Santa Cruz Cabralia,BR,84.43,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
78,Victoria,HK,84.18,clear sky,22.2855,114.1577,Mini Hotel Central
83,Salalah,OM,81.68,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
91,Puerto Ayora,EC,78.76,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
93,Rio Bonito,BR,87.35,clear sky,-22.7086,-42.6097,OYO Hotel Ximenes
95,Pasir Gudang,MY,80.62,broken clouds,1.4584,103.8805,Swan Garden Hotel
97,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
98,Sao Miguel Do Araguaia,BR,87.71,clear sky,-13.275,-50.1628,Hotel Executivo Palace
99,Nishihara,JP,77.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
101,Faanui,PF,81.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Porto Velho,BR,87.85,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
110,Hithadhoo,MV,83.77,overcast clouds,-0.6,73.0833,Scoop Guest House
118,Hobyo,SO,84.24,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
120,Amapa,BR,84.42,overcast clouds,1.0,-52.0,
123,Tabou,CI,82.13,light rain,4.423,-7.3528,hotêl doufoulougou
124,Florida,US,87.82,scattered clouds,28.7505,-82.5001,Sportsmens Cove
125,Hirara,JP,78.48,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
129,Kokopo,PG,77.31,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
132,Padang,ID,79.57,overcast clouds,-0.9492,100.3543,Mercure Padang
133,Labuhan,ID,79.86,overcast clouds,-6.8844,112.2051,DoubleFAG
134,Touros,BR,85.32,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
137,Atuona,PF,78.67,light rain,-9.8,-139.0333,Villa Enata
141,Cancun,MX,84.06,overcast clouds,21.1743,-86.8466,Hotel Tankah Cancun
144,Carutapera,BR,80.19,moderate rain,-1.195,-46.02,Lidera
149,Baikunthpur,IN,86.25,clear sky,23.25,82.55,Hotel Shree Annapurna
151,Jand,PK,89.19,scattered clouds,33.4299,72.0193,Mohalla Takia
152,Bubaque,GW,77.97,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
161,Mataram,ID,77.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
163,San Patricio,US,78.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
166,Bengkulu,ID,76.3,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
167,Myitkyina,MM,78.82,broken clouds,25.3833,97.4,Shwe Phyu Hotel
171,Samarai,PG,80.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
173,Karratha,AU,78.28,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
174,Dawei,MM,80.94,few clouds,14.0833,98.2,Hotel Dawei
175,San-Pedro,CI,83.17,light rain,4.7485,-6.6363,Hotel Maria
176,Haapiti,PF,76.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
177,Poum,NC,76.48,overcast clouds,-20.2333,164.0167,
179,Caxito,AO,75.7,moderate rain,-8.5785,13.6643,
182,Axim,GH,83.43,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
183,Fonte Boa,BR,83.5,overcast clouds,-2.4959,-66.2662,
187,Gushikawa,JP,76.62,overcast clouds,26.3544,127.8686,Kirari Guest House
195,Uvira,CD,77.13,light rain,-3.4067,29.1458,Hotel Suzana
197,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
202,Cabo San Lucas,MX,85.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
207,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
208,Sao Sebastiao,BR,83.61,clear sky,-23.76,-45.4097,Hotel Recanto dos Pássaros
209,Obo,CF,79.21,overcast clouds,5.3998,26.4869,
211,Cidreira,BR,84.97,clear sky,-30.1811,-50.2056,Hotel Castelo
215,Ixtapa,MX,91.35,clear sky,20.7,-105.2,hotel la terminal
220,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
223,Tonj,SS,91.49,overcast clouds,7.2737,28.6822,Lakan Hotel
