City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Poya,NC,-21.35,165.15,70.18,81,99,6.33,overcast clouds,2022-04-27 16:51:21
1,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,58,20,17.27,few clouds,2022-04-27 16:50:04
2,Rio Gallegos,AR,-51.6226,-69.2181,42.85,70,40,21.85,scattered clouds,2022-04-27 16:47:07
3,Port Alfred,ZA,-33.5906,26.891,62.19,82,1,14.92,clear sky,2022-04-27 16:51:36
4,Bluff,NZ,-46.6,168.3333,49.68,84,63,5.95,broken clouds,2022-04-27 16:46:24
5,Tres Arroyos,AR,-38.3739,-60.2798,61.5,25,0,8.7,clear sky,2022-04-27 16:51:36
6,Miram Shah,PK,33.0086,70.0697,82.11,20,44,1.23,scattered clouds,2022-04-27 16:51:37
7,Rikitea,PF,-23.1203,-134.9692,77.67,72,51,24.0,broken clouds,2022-04-27 16:48:50
8,Te Anau,NZ,-45.4167,167.7167,42.85,95,19,1.25,few clouds,2022-04-27 16:51:37
9,Carnarvon,AU,-24.8667,113.6333,66.27,77,59,10.36,broken clouds,2022-04-27 16:50:04
10,Barrow,US,71.2906,-156.7887,5.02,85,100,11.5,light snow,2022-04-27 16:43:41
11,Saint-Augustin,CA,51.226,-58.6502,35.46,100,100,2.21,overcast clouds,2022-04-27 16:50:03
12,Ostrovnoy,RU,68.0531,39.5131,19.62,77,40,16.22,scattered clouds,2022-04-27 16:51:38
13,Bredasdorp,ZA,-34.5322,20.0403,58.08,84,6,4.47,clear sky,2022-04-27 16:48:51
14,Hilo,US,19.7297,-155.09,74.28,93,100,8.05,light rain,2022-04-27 16:47:18
15,Kaeo,NZ,-35.1,173.7833,54.32,92,72,5.01,broken clouds,2022-04-27 16:50:12
16,Zyryanka,RU,65.75,150.85,16.84,95,100,9.86,light snow,2022-04-27 16:51:39
17,Ushuaia,AR,-54.8,-68.3,37.06,81,75,21.85,light snow,2022-04-27 16:48:51
18,Hami,CN,42.8,93.45,61.12,26,5,4.36,clear sky,2022-04-27 16:51:39
19,Ancud,CL,-41.8697,-73.8203,50.11,58,49,17.65,scattered clouds,2022-04-27 16:43:37
20,Bonthe,SL,7.5264,-12.505,84.29,68,82,11.05,broken clouds,2022-04-27 16:51:40
21,Busselton,AU,-33.65,115.3333,61.27,67,91,12.15,overcast clouds,2022-04-27 16:46:21
22,Narsaq,GL,60.9167,-46.05,46.62,64,100,0.29,overcast clouds,2022-04-27 16:48:58
23,Teknaf,BD,20.8624,92.3058,78.28,92,16,3.58,few clouds,2022-04-27 16:51:40
24,Provideniya,RU,64.3833,-173.3,25.99,91,57,6.62,broken clouds,2022-04-27 16:51:41
25,Jamestown,US,42.097,-79.2353,33.39,76,100,14.97,mist,2022-04-27 16:48:34
26,Mahebourg,MU,-20.4081,57.7,75.49,88,40,6.91,scattered clouds,2022-04-27 16:51:41
27,Qaanaaq,GL,77.484,-69.3632,20.64,71,32,4.56,scattered clouds,2022-04-27 16:51:41
28,Aromashevo,RU,56.8602,68.6375,58.68,66,90,9.19,overcast clouds,2022-04-27 16:51:42
29,Albany,US,42.6001,-73.9662,49.39,53,62,5.01,broken clouds,2022-04-27 16:48:50
30,Hargeysa,SO,9.56,44.065,77.49,53,57,3.2,broken clouds,2022-04-27 16:51:42
31,Calama,CL,-22.4667,-68.9333,73.89,15,0,10.36,clear sky,2022-04-27 16:48:11
32,Berlevag,NO,70.8578,29.0864,26.55,80,75,23.02,light shower snow,2022-04-27 16:51:43
33,Nagod,IN,24.5667,80.6,95.13,10,0,4.18,clear sky,2022-04-27 16:51:43
34,Castro,BR,-24.7911,-50.0119,78.71,50,3,8.86,clear sky,2022-04-27 16:48:59
35,Vaini,TO,-21.2,-175.2,73.56,73,20,10.36,few clouds,2022-04-27 16:46:22
36,Severo-Kurilsk,RU,50.6789,156.125,34.5,94,81,7.72,broken clouds,2022-04-27 16:51:44
37,Kavieng,PG,-2.5744,150.7967,82.96,78,36,15.12,scattered clouds,2022-04-27 16:51:44
38,Beringovskiy,RU,63.05,179.3167,31.1,99,100,4.72,light snow,2022-04-27 16:50:08
39,Punta Arenas,CL,-53.15,-70.9167,42.91,52,20,20.71,few clouds,2022-04-27 16:48:59
40,Sai Buri,TH,6.7013,101.6168,79.84,84,76,4.59,broken clouds,2022-04-27 16:51:45
41,Beckley,US,37.7782,-81.1882,55.29,47,0,20.71,clear sky,2022-04-27 16:48:59
42,Cape Town,ZA,-33.9258,18.4232,66.61,63,0,8.05,clear sky,2022-04-27 16:45:39
43,Hamilton,US,39.1834,-84.5333,57.43,51,0,10.36,clear sky,2022-04-27 16:49:35
44,Thompson,CA,55.7435,-97.8558,35.76,32,0,9.22,clear sky,2022-04-27 16:48:03
45,Cherskiy,RU,68.75,161.3,15.37,92,100,2.64,overcast clouds,2022-04-27 16:51:46
46,Grindavik,IS,63.8424,-22.4338,46.87,61,75,4.61,broken clouds,2022-04-27 16:50:47
47,Faya,SA,18.3851,42.4509,66.72,54,22,7.85,few clouds,2022-04-27 16:48:05
48,Rio Muerto,MX,27.4167,-110.2333,86.77,20,0,11.25,clear sky,2022-04-27 16:51:46
49,Tailai,CN,46.3833,123.4,42.17,28,32,4.61,scattered clouds,2022-04-27 16:52:47
50,Fort Nelson,CA,58.8053,-122.7002,35.19,87,100,10.36,light rain,2022-04-27 16:52:47
51,Merrill,US,45.1805,-89.6835,39.97,48,0,4.61,clear sky,2022-04-27 16:52:48
52,Ponta Do Sol,PT,32.6667,-17.1,66.83,73,19,2.62,few clouds,2022-04-27 16:52:48
53,Evensk,RU,61.95,159.2333,30.88,88,95,11.99,overcast clouds,2022-04-27 16:52:48
54,Marathon,US,44.9,-89.7668,38.44,51,0,1.99,clear sky,2022-04-27 16:52:49
55,Amargosa,BR,-13.0303,-39.6047,76.15,82,64,9.01,broken clouds,2022-04-27 16:52:49
56,Nizhniy Kuranakh,RU,58.8353,125.4869,27.3,96,100,5.19,light snow,2022-04-27 16:52:50
57,Lakatoro,VU,-16.0999,167.4164,78.12,83,78,11.03,broken clouds,2022-04-27 16:52:50
58,Torbay,CA,47.6666,-52.7314,47.75,80,75,10.36,broken clouds,2022-04-27 16:52:51
59,Anaconda,US,46.1285,-112.9423,36.59,53,100,1.1,overcast clouds,2022-04-27 16:51:44
60,Hasaki,JP,35.7333,140.8333,63.0,68,100,27.92,overcast clouds,2022-04-27 16:52:51
